Date,Forecast,Actual,Unit_Cost,Delta,DriftMemory,Threshold,Rupture,Loss,Threshold_EWMA
2025-05-01,1025,1010,50.52,15,0,109,False,0.0,15.0
2025-05-02,993,904,54.48,89,0,68,True,4848.719999999999,213.08881653452468
2025-05-03,1032,936,54.5,96,4,122,False,0.0,199.8717637805126
2025-05-04,1076,1141,53.04,65,8,128,False,0.0,168.5901858741065
2025-05-05,988,1096,46.35,108,0,42,True,5005.8,180.8959079364468
2025-05-06,988,982,57.53,6,0,60,False,0.0,200.17492137598737
2025-05-07,1079,1159,49.81,80,4,103,False,0.0,187.76527016010152
2025-05-08,1038,1067,47.8,29,5,90,False,0.0,174.1462105650962
2025-05-09,977,925,45.61,52,8,100,False,0.0,158.1792945505426
2025-05-10,1027,1056,53.86,29,9,75,False,0.0,146.5404499896407
2025-05-11,977,1100,55.16,123,15,127,False,0.0,195.30020202789183
2025-05-12,977,974,45.25,3,16,124,False,0.0,193.585207643978
2025-05-13,1012,1137,52.68,125,0,103,True,6585.0,224.9585047309514
2025-05-14,904,694,48.4,210,0,133,True,10164.0,329.4483816460091
2025-05-15,914,980,54.68,66,3,114,False,0.0,301.227516654737
2025-05-16,972,979,47.62,7,3,74,False,0.0,289.9951341425561
2025-05-17,949,925,55.36,24,4,111,False,0.0,266.6181201919713
2025-05-18,1016,1023,50.8,7,5,71,False,0.0,247.13927373011143
2025-05-19,955,796,59.05,159,0,126,True,9388.949999999999,295.3975170747067
2025-05-20,929,911,47.06,18,0,98,False,0.0,272.81577988826996
2025-05-21,1073,1102,50.12,29,2,94,False,0.0,248.3845177308255
2025-05-22,989,1107,46.7,118,0,79,True,5510.6,257.9097447795207
2025-05-23,1003,962,58.87,41,2,136,False,0.0,235.7786149427037
2025-05-24,929,864,58.16,65,5,95,False,0.0,217.87399047786806
2025-05-25,973,933,48.87,40,7,87,False,0.0,199.93690689171598
2025-05-26,1006,1079,54.9,73,10,90,False,0.0,189.1837471391193
2025-05-27,942,968,57.26,26,12,117,False,0.0,177.15822262864486
2025-05-28,1019,977,53.33,42,14,112,False,0.0,162.8057762345057
2025-05-29,970,1011,52.94,41,16,113,False,0.0,149.8541391945446
2025-05-30,985,993,48.63,8,16,114,False,0.0,145.46958827919713
2025-05-31,970,1047,46.4,77,20,165,False,0.0,152.08111293223135
2025-06-01,1093,1037,58.46,56,23,89,False,0.0,143.13042719598693
2025-06-02,999,973,58.51,26,24,86,False,0.0,133.91004465982792
2025-06-03,947,916,54.5,31,26,78,False,0.0,123.7276640153147
2025-06-04,1041,924,50.09,117,32,121,False,0.0,176.98960156019143
2025-06-05,939,963,50.24,24,33,137,False,0.0,165.76691689555508
2025-06-06,1010,1031,55.89,21,34,99,False,0.0,154.36808617831372
2025-06-07,902,902,58.46,0,34,78,False,0.0,149.15306660627346
2025-06-08,934,915,58.31,19,35,78,False,0.0,136.04560835099676
2025-06-09,1010,897,56.7,113,41,123,False,0.0,186.79013568838855
2025-06-10,1037,1003,54.63,34,42,126,False,0.0,170.66023333164864
2025-06-11,1009,982,46.26,27,44,120,False,0.0,156.21738527010396
2025-06-12,994,930,47.42,64,47,84,False,0.0,152.36817104300886
2025-06-13,985,972,58.48,13,47,111,False,0.0,143.55553848756992
2025-06-14,926,958,54.1,32,49,108,False,0.0,131.564084863196
2025-06-15,964,1115,45.14,151,0,111,True,6816.14,226.91134871785908
2025-06-16,977,991,46.52,14,0,126,False,0.0,211.46522609824723
2025-06-17,1053,1074,54.95,21,1,106,False,0.0,193.61166761963977
2025-06-18,1017,1011,45.08,6,2,120,False,0.0,179.20579005106805
2025-06-19,912,758,47.41,154,0,102,True,7301.139999999999,255.9216400629653
2025-06-20,1016,1014,53.23,2,0,108,False,0.0,238.9049711412417
2025-06-21,981,986,55.38,5,0,118,False,0.0,219.0483388445461
2025-06-22,966,1163,54.78,197,0,56,True,10791.66,327.3353318799261
2025-06-23,1031,1016,48.36,15,0,90,False,0.0,300.07850729548807
2025-06-24,1052,1076,55.68,24,1,85,False,0.0,272.4139859139314
2025-06-25,1047,1044,48.56,3,2,81,False,0.0,249.30908625194374
2025-06-26,958,865,49.88,93,0,91,True,4638.84,248.1954751816114
2025-06-27,985,1076,56.2,91,4,144,False,0.0,241.76464161758855
2025-06-28,1017,1077,54.74,60,7,74,False,0.0,222.52049555328662
2025-06-29,1049,1112,57.74,63,10,129,False,0.0,205.95305871618856
2025-06-30,976,903,54.86,73,0,50,True,4004.7799999999997,193.95056651843072
